Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:08:30:04.490,61,0.0114882775,0.0000000000,0.0268868059,0.0000000000,0.0000000000,0.0554062352,0.0000000000,0.0114850625,0.0000000000,0.0000000000,0.0015413023,0.0000000000,0.0553947762,0.0000000000,0.0033625022,0.0000000000,0.0000000000,0.0084974524,0.0082943924,0.0058026738,0.0086317649,0.0000000000,0.0128207216,0.1108359247,0.1188861951,0.0000000000,0.0000000000,0.0261054821,0.0306129921,0.0114681330,0.0146007910,0.0070857042,0.0089554964,0.0261945240,0.0112363761,0.0200073272,0.0186717417,0.0095884949,0.0091638453,0.0046814242,0.0055368384,0.0322618894,0.0318491384,0.0049158139,0.0000000000,0.0000000000,0.0026332333,0.0166968238,0.0183305703,0.0263953656,0.0326372609,0.0000001356,0.0922040269,0.0646404400,-0.0959923789,0.0155705214,-0.0141819343,0.0008977037,0.0149144270,-0.0141845420,-0.0001510938
20:08:30:05.492,61,0.0000000000,0.0000000000,0.0131234992,0.0000000000,0.0000000000,0.0707592517,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0707528591,0.0000000000,0.0036064228,0.0000000000,0.0000000000,0.0089284685,0.0087574152,0.0061691902,0.0087820552,0.0000000000,0.0131431865,0.1111745089,0.1195615903,0.0000000000,0.0000000000,0.0264759101,0.0310899522,0.0126128728,0.0174876153,0.0074697696,0.0091931326,0.0268389098,0.0116620697,0.0204353519,0.0190369226,0.0099869492,0.0095679872,0.0048208800,0.0057048951,0.0346134491,0.0342046581,0.0065338886,0.0000000000,0.0000000000,0.0028921303,0.0217119139,0.0256169606,0.0273588039,0.0358152092,0.0000000208,0.0910961628,0.0626715124,-0.0979225934,0.0086057168,-0.0474052429,0.0007895109,0.0073601641,-0.0474069007,-0.0026259911
20:08:30:06.493,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0241255742,0.0868111849,0.0000000000,0.0000000000,0.0000000000,0.0088645853,0.0000000000,0.0242757145,0.0868102014,0.0000000000,0.0038901307,0.0000000000,0.0000000000,0.0094515830,0.0093710227,0.0066293557,0.0089477906,0.0000000000,0.0148622515,0.1116811782,0.1295377612,0.0000000000,0.0000000000,0.0268234722,0.0315891206,0.0146722635,0.0218345653,0.0079115154,0.0093955658,0.0275052413,0.0120885987,0.0208140891,0.0193460975,0.0105472561,0.0101518072,0.0050401818,0.0059968345,0.0364323594,0.0360415243,0.0077276831,0.0000000000,0.0000000000,0.0031496696,0.0279316697,0.0349722430,0.0303256363,0.0430824123,0.0000000000,0.0913414061,0.0622439645,-0.0993724018,-0.0053090639,-0.0690427572,0.0010672744,-0.0067297705,-0.0690436885,-0.0038707368
20:08:30:07.495,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0721585602,0.0925806537,0.0235111844,0.0000000000,0.0000000000,0.0123457778,0.0000000000,0.0723503530,0.0925814435,0.0235086530,0.0041299420,0.0000000000,0.0000000000,0.0098599792,0.0098488554,0.0069509414,0.0090022730,0.0000000000,0.0154931052,0.1120572910,0.1322973520,0.0000000000,0.0000000000,0.0269870646,0.0318277143,0.0157515090,0.0236067735,0.0082435887,0.0094840294,0.0279941317,0.0124466671,0.0209809449,0.0194517486,0.0109614208,0.0105711874,0.0052028764,0.0062055909,0.0315402299,0.0313359462,0.0093660792,0.0000000000,0.0000000000,0.0033292260,0.0301717110,0.0380860195,0.0314579010,0.0454180017,0.0000000000,0.0921154171,0.0620760918,-0.1002625003,-0.0073747281,-0.0900248140,0.0015510424,-0.0090102702,-0.0900250822,-0.0048550493
20:08:30:08.497,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1197696403,0.0931252986,0.0630508885,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1200706586,0.0931257978,0.0630545542,0.0043614008,0.0000000000,0.0000000000,0.0102122445,0.0101901432,0.0071359202,0.0089898035,0.0000000000,0.0153556000,0.1092825830,0.1185523868,0.0000000000,0.0000000000,0.0272072479,0.0320316367,0.0165490042,0.0246200543,0.0084838057,0.0096169719,0.0281980541,0.0126047153,0.0210489333,0.0194607954,0.0112165324,0.0108118169,0.0052101212,0.0062073232,0.0194964875,0.0194117241,0.0103451237,0.0000000000,0.0000000000,0.0035014777,0.0309347995,0.0383657515,0.0316666365,0.0453301147,0.0000000000,0.0931510702,0.0628965646,-0.1009589061,0.0005830564,-0.1108442545,0.0015926867,-0.0014272444,-0.1108440012,-0.0062536006
20:08:30:09.498,61,0.0000000000,0.0000000000,0.0000098061,0.0000000000,0.1422055513,0.0921247303,0.0933852643,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1425541937,0.0921240225,0.0933991224,0.0045304089,0.0000000000,0.0000000000,0.0105213383,0.0104688928,0.0072406200,0.0089978222,0.0000000000,0.0149047729,0.1040847003,0.1111490056,0.0000000000,0.0000000000,0.0272913538,0.0320520140,0.0170617662,0.0250816066,0.0086183436,0.0097218035,0.0280939825,0.0125654088,0.0209215302,0.0192865524,0.0113579500,0.0109375389,0.0051332056,0.0061039664,0.0125206048,0.0124679971,0.0110577205,0.0000000000,0.0000000000,0.0036254141,0.0308624990,0.0362739190,0.0310194176,0.0417031124,0.0000000000,0.0944019556,0.0631317198,-0.1006070897,0.0020118998,-0.1206543297,0.0016419478,-0.0000071153,-0.1206537113,-0.0068891207
20:08:30:10.500,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1741531640,0.0918109491,0.1205476075,0.0000000000,0.0000000000,0.0044626310,0.0000000000,0.1744937003,0.0918098241,0.1205712706,0.0047281738,0.0000000000,0.0000000000,0.0108735561,0.0107654789,0.0073427088,0.0090794619,0.0000000000,0.0139361219,0.1004805118,0.1066396683,0.0000000000,0.0000000000,0.0274374597,0.0321165062,0.0175046884,0.0253494326,0.0087765409,0.0099055804,0.0279534757,0.0124865370,0.0208305176,0.0191460028,0.0115139391,0.0110674519,0.0050248913,0.0059582489,0.0084046340,0.0083571803,0.0117929112,0.0000000000,0.0000000000,0.0037827250,0.0305254254,0.0349204838,0.0303915124,0.0393726416,0.0000000012,0.0945244431,0.0610052831,-0.1006408483,-0.0026355218,-0.1345969737,0.0021732589,-0.0048733652,-0.1345960200,-0.0073175598
20:08:30:11.501,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1730895787,0.0902548209,0.1331142485,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1734616607,0.0902535319,0.1331396550,0.0049121706,0.0000000000,0.0000000000,0.0111924261,0.0110170236,0.0074090851,0.0091439709,0.0000000000,0.0131771304,0.0971056968,0.1042662114,0.0000000000,0.0000000000,0.0276144519,0.0322142020,0.0179179274,0.0255318489,0.0089102127,0.0100806626,0.0277790334,0.0123773515,0.0207272079,0.0189963989,0.0116420742,0.0111705111,0.0048994743,0.0057945061,0.0050721923,0.0049947253,0.0125307152,0.0000000000,0.0000000000,0.0039278092,0.0299655851,0.0335033014,0.0296896361,0.0377594307,0.0000000064,0.0951645523,0.0586897954,-0.1008698791,0.0000491450,-0.1341433525,0.0019618035,-0.0021487959,-0.1341423839,-0.0074999360
20:08:30:12.503,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1785390824,0.0885034502,0.1401475966,0.0000000000,0.0000000000,0.0063496819,0.0000000000,0.1788705140,0.0885022655,0.1401753575,0.0050689536,0.0000000000,0.0000000000,0.0114369662,0.0112046320,0.0074655032,0.0091808103,0.0000000000,0.0124973627,0.0945796445,0.1026701704,0.0000000000,0.0000000000,0.0276912283,0.0322037376,0.0182920359,0.0256652068,0.0090202186,0.0101907216,0.0277011599,0.0123529239,0.0206352379,0.0188572817,0.0117216893,0.0112315137,0.0047883345,0.0056492505,0.0023615896,0.0022527212,0.0132739646,0.0000000000,0.0000000000,0.0040839026,0.0293617006,0.0325415619,0.0290210675,0.0366746970,0.0000000076,0.0959013253,0.0567834228,-0.1003450826,-0.0037546251,-0.1365085840,0.0022939802,-0.0060552955,-0.1365076005,-0.0073256143
20:08:30:13.504,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1781741977,0.0849297792,0.1441897452,0.0000000000,0.0000000000,0.0057928558,0.0000000000,0.1785086691,0.0849288031,0.1442192346,0.0051769125,0.0000000000,0.0000000000,0.0116180200,0.0113377338,0.0074902386,0.0092063667,0.0000000000,0.0118773617,0.0911036208,0.1008009538,0.0000000000,0.0000000000,0.0275853463,0.0320006348,0.0185591746,0.0256833378,0.0090677720,0.0102183474,0.0275762081,0.0123210587,0.0204752591,0.0186633728,0.0117228534,0.0112204375,0.0046718046,0.0055007646,0.0000000000,0.0000000000,0.0139099676,0.0000000000,0.0000000000,0.0042018364,0.0285899155,0.0314057730,0.0283157323,0.0357408635,0.0000000000,0.0962640271,0.0546178818,-0.1006080806,-0.0034238715,-0.1363501996,0.0022652366,-0.0057812780,-0.1363492757,-0.0073388387
